re,ar,lx,ly,distance_from_training,mae_mag,rmse_mag,mae_x,mae_y,rmse_x,rmse_y
500,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.598123e-08,3.262882e-08,2.585739e-08,7.662180e-09,3.203178e-08,1.538813e-08
500,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.299796e-08,3.487296e-08,2.641576e-08,7.848135e-09,3.514691e-08,1.687906e-08
500,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,3.316002e-08,3.913005e-08,3.325205e-08,2.934510e-08,3.533574e-08,3.478341e-08
500,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.525391e-08,3.157601e-08,3.528080e-08,9.019334e-09,3.962342e-08,1.706505e-08
500,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,5.816398e-08,6.477514e-08,2.346767e-08,5.721316e-08,4.130621e-08,6.065725e-08
500,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,4.197732e-08,5.498155e-08,5.062859e-08,1.593610e-08,6.010826e-08,2.643398e-08
600,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.828094e-08,4.006269e-08,1.792789e-08,3.406998e-08,3.169247e-08,4.092864e-08
600,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,1.860426e-08,2.750659e-08,1.768546e-08,9.406454e-09,2.682691e-08,1.856674e-08
600,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.860471e-08,3.507590e-08,1.349888e-08,3.633368e-08,2.275918e-08,3.971331e-08
600,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.858321e-08,4.194189e-08,2.097360e-08,2.246926e-08,3.776398e-08,3.117205e-08
600,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.114023e-08,2.721622e-08,1.255522e-08,2.172493e-08,2.188990e-08,2.588757e-08
600,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,4.026860e-08,4.634318e-08,1.763612e-08,4.619133e-08,2.924420e-08,5.001557e-08
600,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,3.087133e-08,4.522298e-08,3.355987e-08,2.061422e-08,4.587516e-08,2.624200e-08
600,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,4.283066e-08,5.214844e-08,2.100816e-08,4.512777e-08,3.805193e-08,4.961665e-08
600,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.659401e-08,5.444154e-08,3.180338e-08,1.339342e-08,5.194291e-08,2.151713e-08
700,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.666691e-08,5.137222e-08,2.126148e-08,1.633797e-08,4.462433e-08,3.220467e-08
700,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,3.866668e-08,4.674460e-08,4.174185e-08,3.346739e-08,4.691046e-08,4.106821e-08
700,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,3.170501e-08,4.299657e-08,1.621256e-08,3.387816e-08,3.143570e-08,4.106255e-08
700,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.064882e-08,3.677590e-08,2.933005e-08,1.725060e-08,4.047722e-08,2.602668e-08
700,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,5.747934e-08,6.292183e-08,6.214833e-08,3.311888e-08,6.483492e-08,3.931473e-08
700,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.630390e-08,3.686958e-08,3.735096e-08,2.550500e-08,4.341508e-08,3.274427e-08
700,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.019697e-08,2.670965e-08,2.917040e-08,1.124910e-08,3.397095e-08,1.888225e-08
700,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.578178e-08,3.268071e-08,3.886803e-08,1.470635e-08,4.344838e-08,2.140668e-08
700,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.181213e-08,3.160885e-08,2.488019e-08,2.325474e-08,3.025580e-08,3.154891e-08
800,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,3.554252e-08,5.445260e-08,2.428902e-08,3.186430e-08,4.333263e-08,4.618484e-08
800,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,6.506797e-08,8.728649e-08,7.865926e-08,2.048797e-08,9.266553e-08,3.887831e-08
800,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.788456e-08,5.109256e-08,2.192004e-08,1.776350e-08,4.448043e-08,3.206278e-08
800,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,3.226893e-08,5.412437e-08,3.397813e-08,3.525119e-08,4.961198e-08,4.397845e-08
800,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.761446e-08,4.965512e-08,1.418446e-08,4.835623e-08,3.256059e-08,5.493791e-08
800,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.668111e-08,3.823009e-08,1.753493e-08,1.913515e-08,3.025706e-08,3.122680e-08
800,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,3.222874e-08,4.102056e-08,2.861805e-08,1.182509e-08,3.797226e-08,2.315903e-08
800,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.188369e-08,3.086863e-08,2.047858e-08,1.743498e-08,2.792499e-08,2.460208e-08
800,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.696080e-08,3.650649e-08,2.184957e-08,1.465908e-08,3.418331e-08,2.175180e-08
900,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,4.938179e-08,8.403318e-08,2.412035e-08,5.130448e-08,6.837914e-08,6.399898e-08
900,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,3.880072e-08,7.434368e-08,3.403010e-08,3.948351e-08,6.072744e-08,5.709534e-08
900,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,3.346562e-08,6.615245e-08,2.514808e-08,2.564352e-08,5.793860e-08,4.272867e-08
900,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,3.094253e-08,5.650594e-08,1.742342e-08,2.259268e-08,4.238639e-08,4.172158e-08
900,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.326638e-08,5.943636e-08,3.929596e-08,2.924183e-08,5.865214e-08,4.053523e-08
900,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.521122e-08,4.458389e-08,2.049691e-08,2.925803e-08,3.674268e-08,4.026748e-08
900,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.420602e-08,3.962057e-08,2.258249e-08,3.580163e-08,3.488387e-08,4.225456e-08
900,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.691004e-08,3.646329e-08,2.961211e-08,3.557864e-08,3.530212e-08,4.298891e-08
900,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,4.410539e-08,5.803279e-08,3.825394e-08,2.749109e-08,5.480068e-08,3.434916e-08
1000,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,5.722832e-08,9.592212e-08,6.114127e-08,3.244647e-08,8.842341e-08,5.870925e-08
1000,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,4.476650e-08,9.180781e-08,3.332444e-08,3.443894e-08,7.657764e-08,5.920593e-08
1000,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,4.431913e-08,6.422798e-08,2.016618e-08,4.105939e-08,4.506661e-08,5.630906e-08
1000,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,5.214965e-08,8.413087e-08,5.852835e-08,4.156105e-08,7.623220e-08,6.330256e-08
1000,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.268000e-08,6.110601e-08,3.084621e-08,1.971184e-08,5.195354e-08,4.268174e-08
1000,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,4.271875e-08,6.625173e-08,5.106873e-08,2.199823e-08,6.436481e-08,4.390069e-08
1000,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,3.788398e-08,4.810759e-08,3.242122e-08,2.496959e-08,4.207202e-08,3.887885e-08
1000,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.794895e-08,4.581698e-08,3.135437e-08,2.391083e-08,4.316909e-08,3.565962e-08
1000,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.713579e-08,3.983860e-08,3.133418e-08,2.637285e-08,4.044170e-08,3.432489e-08
1100,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,5.197382e-08,1.061204e-07,3.052015e-08,3.150031e-08,8.475735e-08,6.895780e-08
1100,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,4.433263e-08,9.154896e-08,2.523373e-08,3.577991e-08,6.830747e-08,6.770359e-08
1100,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,5.485089e-08,9.853360e-08,4.408735e-08,3.157628e-08,8.369211e-08,5.901225e-08
1100,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,4.289664e-08,8.387615e-08,3.197212e-08,3.279003e-08,6.717416e-08,5.859571e-08
1100,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.880789e-08,7.602434e-08,2.546931e-08,2.850651e-08,5.748482e-08,5.523210e-08
1100,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,6.239741e-08,8.644185e-08,7.209290e-08,2.887509e-08,8.516385e-08,5.448027e-08
1100,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,5.091568e-08,7.313984e-08,6.201557e-08,2.296164e-08,7.488428e-08,4.630708e-08
1100,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.529958e-08,5.679343e-08,4.008727e-08,2.835879e-08,5.378406e-08,4.240352e-08
1100,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.100986e-08,4.495783e-08,4.448662e-08,1.624754e-08,5.475280e-08,3.323137e-08
1200,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,7.154163e-08,1.293362e-07,7.018907e-08,3.700054e-08,1.138944e-07,7.631975e-08
1200,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,7.143623e-08,1.298723e-07,5.177847e-08,3.838389e-08,1.081200e-07,7.701724e-08
1200,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,5.001859e-08,9.715550e-08,3.631003e-08,3.031285e-08,7.694802e-08,6.645255e-08
1200,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,4.817791e-08,8.494789e-08,3.464858e-08,4.922120e-08,6.348660e-08,6.904381e-08
1200,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,4.321593e-08,7.516576e-08,2.685410e-08,3.024735e-08,5.380796e-08,5.762438e-08
1200,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,4.115972e-08,7.109264e-08,3.502568e-08,4.164356e-08,5.641713e-08,5.949402e-08
1200,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,4.449013e-08,6.351789e-08,3.615340e-08,2.568657e-08,4.942935e-08,5.213130e-08
1200,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.852196e-08,5.519999e-08,2.626944e-08,2.610782e-08,4.276775e-08,4.523755e-08
1200,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.265131e-08,5.092280e-08,1.949694e-08,2.141905e-08,3.229092e-08,4.445545e-08
1300,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,6.525968e-08,1.266517e-07,4.939701e-08,3.438124e-08,1.030575e-07,8.133634e-08
1300,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,5.501536e-08,1.006788e-07,3.939317e-08,4.103293e-08,7.820242e-08,7.512844e-08
1300,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,5.782140e-08,1.019605e-07,3.040973e-08,6.155624e-08,8.033125e-08,8.093425e-08
1300,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,5.044921e-08,8.743555e-08,3.509005e-08,5.428809e-08,7.048494e-08,6.991341e-08
1300,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,4.742100e-08,8.836223e-08,3.116460e-08,3.086197e-08,6.676449e-08,6.338936e-08
1300,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,4.758517e-08,7.502777e-08,3.023092e-08,3.210952e-08,5.200919e-08,6.001198e-08
1300,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,4.111921e-08,5.975499e-08,2.585833e-08,3.844848e-08,4.374294e-08,5.174974e-08
1300,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,4.567592e-08,6.636748e-08,2.941699e-08,2.794097e-08,4.492765e-08,5.405497e-08
1300,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.655414e-08,5.514565e-08,2.280727e-08,2.180997e-08,3.661630e-08,4.520081e-08
1400,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,7.467450e-08,1.312891e-07,5.290406e-08,6.211634e-08,1.055206e-07,9.310683e-08
1400,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,5.892102e-08,1.194398e-07,3.993280e-08,4.107790e-08,9.481087e-08,7.861981e-08
1400,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,5.787276e-08,1.074386e-07,4.095999e-08,5.154441e-08,8.698038e-08,7.667300e-08
1400,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,5.817203e-08,1.064294e-07,4.814778e-08,4.222025e-08,8.772637e-08,7.311903e-08
1400,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,4.711397e-08,8.362522e-08,2.645252e-08,3.220532e-08,5.494482e-08,6.731707e-08
1400,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,4.860635e-08,8.507527e-08,4.150436e-08,3.485409e-08,6.600484e-08,6.434264e-08
1400,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,4.428002e-08,6.637786e-08,2.846548e-08,2.898291e-08,4.460650e-08,5.498562e-08
1400,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,4.488300e-08,6.946944e-08,3.286079e-08,3.062774e-08,5.056568e-08,5.640353e-08
1400,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,4.429579e-08,6.166884e-08,3.056862e-08,3.252754e-08,4.558200e-08,5.264224e-08
1500,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,6.668407e-08,1.235277e-07,4.211352e-08,4.315862e-08,9.708641e-08,8.386206e-08
