ar,re,lx,ly,distance_from_training,is_training_ar,mae_x,mae_y,mae_mag,rmse_x,rmse_y,rmse_mag,error_growth_rate
1.1x1,100,1.1,1.0,0.6683291873706964,False,3.6945817e-08,2.806606e-08,5.0864195e-08,6.262924e-08,5.461473e-08,8.2303174e-08,
1.1x1,1000,1.1,1.0,0.6683291873706964,False,6.114127e-08,3.2446472e-08,5.7228323e-08,8.842341e-08,5.8709254e-08,9.592212e-08,
1.1x1,1100,1.1,1.0,0.6683291873706964,False,3.0520148e-08,3.150031e-08,5.1973817e-08,8.475735e-08,6.8957796e-08,1.06120446e-07,
1.1x1,1200,1.1,1.0,0.6683291873706964,False,7.018907e-08,3.7000536e-08,7.1541635e-08,1.1389437e-07,7.631975e-08,1.2933617e-07,
1.1x1,1300,1.1,1.0,0.6683291873706964,False,4.9397013e-08,3.4381245e-08,6.525968e-08,1.0305754e-07,8.133634e-08,1.2665167e-07,
1.1x1,1400,1.1,1.0,0.6683291873706964,False,5.2904056e-08,6.2116335e-08,7.46745e-08,1.0552056e-07,9.310683e-08,1.3128913e-07,
1.1x1,1500,1.1,1.0,0.6683291873706964,False,4.211352e-08,4.315862e-08,6.668407e-08,9.708641e-08,8.386206e-08,1.2352767e-07,
1.1x1,1600,1.1,1.0,0.6683291873706964,False,4.336254e-08,4.9503353e-08,7.235592e-08,1.1270682e-07,9.9574315e-08,1.443166e-07,
1.1x1,1700,1.1,1.0,0.6683291873706964,False,4.9046427e-08,5.087144e-08,8.5358025e-08,1.3989292e-07,1.15474656e-07,1.7820683e-07,
1.1x1,1800,1.1,1.0,0.6683291873706964,False,6.224041e-08,6.196365e-08,1.070706e-07,1.7738363e-07,1.304659e-07,2.1860892e-07,
1.1x1,1900,1.1,1.0,0.6683291873706964,False,9.748481e-08,6.341369e-08,1.198501e-07,1.9459006e-07,1.2941517e-07,2.2723047e-07,
1.1x1,200,1.1,1.0,0.6683291873706964,False,3.549481e-08,2.6799594e-08,4.2305103e-08,4.508179e-08,4.1304954e-08,5.776938e-08,
1.1x1,2000,1.1,1.0,0.6683291873706964,False,7.1255556e-08,6.368847e-08,1.14781884e-07,1.8118502e-07,1.3900171e-07,2.2519104e-07,
1.1x1,2100,1.1,1.0,0.6683291873706964,False,7.362298e-08,6.346961e-08,1.2174387e-07,1.8786176e-07,1.5091904e-07,2.393002e-07,
1.1x1,300,1.1,1.0,0.6683291873706964,False,2.5719173e-08,1.1484466e-08,3.0127808e-08,4.1929976e-08,2.2231616e-08,4.5611117e-08,
1.1x1,400,1.1,1.0,0.6683291873706964,False,1.919579e-08,1.0368988e-08,1.5608117e-08,2.3955861e-08,2.0031544e-08,2.4254085e-08,
1.1x1,500,1.1,1.0,0.6683291873706964,False,2.8283834e-08,3.5428695e-08,4.4830408e-08,4.3193545e-08,3.7573862e-08,5.1912828e-08,
1.1x1,600,1.1,1.0,0.6683291873706964,False,1.7927894e-08,3.4069984e-08,2.8280944e-08,3.169247e-08,4.0928636e-08,4.0062687e-08,
1.1x1,700,1.1,1.0,0.6683291873706964,False,2.1261483e-08,1.633797e-08,2.666691e-08,4.462433e-08,3.2204667e-08,5.137222e-08,
1.1x1,800,1.1,1.0,0.6683291873706964,False,2.4289019e-08,3.18643e-08,3.5542524e-08,4.333263e-08,4.618484e-08,5.44526e-08,
1.1x1,900,1.1,1.0,0.6683291873706964,False,2.4120347e-08,5.1304482e-08,4.9381793e-08,6.837914e-08,6.3998975e-08,8.4033175e-08,
1.2x1,100,1.2,1.0,0.6732679675728525,False,4.6497917e-08,3.0634162e-08,5.8107723e-08,6.3247576e-08,5.2542777e-08,8.073956e-08,
1.2x1,1000,1.2,1.0,0.6732679675728525,False,3.332444e-08,3.4438944e-08,4.4766498e-08,7.657764e-08,5.9205934e-08,9.180781e-08,
1.2x1,1100,1.2,1.0,0.6732679675728525,False,2.5233728e-08,3.5779905e-08,4.4332626e-08,6.830747e-08,6.770359e-08,9.1548955e-08,
1.2x1,1200,1.2,1.0,0.6732679675728525,False,5.177847e-08,3.838389e-08,7.1436226e-08,1.0812e-07,7.701724e-08,1.2987235e-07,
1.2x1,1300,1.2,1.0,0.6732679675728525,False,3.9393175e-08,4.1032926e-08,5.5015363e-08,7.820242e-08,7.512844e-08,1.00678804e-07,
1.2x1,1400,1.2,1.0,0.6732679675728525,False,3.9932804e-08,4.1077897e-08,5.8921025e-08,9.481087e-08,7.8619806e-08,1.1943982e-07,
1.2x1,1500,1.2,1.0,0.6732679675728525,False,4.1055166e-08,3.5648636e-08,6.5447274e-08,9.5389325e-08,8.254517e-08,1.2435434e-07,
1.2x1,1600,1.2,1.0,0.6732679675728525,False,3.8271395e-08,4.083485e-08,7.1170795e-08,1.1145791e-07,1.0187033e-07,1.4914481e-07,
1.2x1,1700,1.2,1.0,0.6732679675728525,False,6.6935385e-08,4.835988e-08,8.475568e-08,1.3642095e-07,1.1321852e-07,1.7150684e-07,
1.2x1,1800,1.2,1.0,0.6732679675728525,False,5.493447e-08,5.2280377e-08,9.760708e-08,1.4979967e-07,1.2657226e-07,1.944163e-07,
1.2x1,1900,1.2,1.0,0.6732679675728525,False,5.9125785e-08,5.8394626e-08,1.0126661e-07,1.5838795e-07,1.2593497e-07,2.000581e-07,
1.2x1,200,1.2,1.0,0.6732679675728525,False,3.197473e-08,2.2918108e-08,3.841132e-08,4.4428877e-08,4.06612e-08,5.7198513e-08,
1.2x1,2000,1.2,1.0,0.6732679675728525,False,6.175609e-08,6.3230004e-08,1.0507669e-07,1.5933273e-07,1.367749e-07,2.0551478e-07,
1.2x1,2100,1.2,1.0,0.6732679675728525,False,6.966459e-08,5.979936e-08,1.1561551e-07,1.6354478e-07,1.4621247e-07,2.1745427e-07,
1.2x1,300,1.2,1.0,0.6732679675728525,False,3.034076e-08,4.6443567e-08,5.6882413e-08,5.6357297e-08,5.2928712e-08,7.31129e-08,
1.2x1,400,1.2,1.0,0.6732679675728525,False,2.4508537e-08,1.3552345e-08,2.2599725e-08,2.777024e-08,2.220482e-08,2.920443e-08,
1.2x1,500,1.2,1.0,0.6732679675728525,False,1.1667734e-08,3.572231e-08,3.437595e-08,2.1821045e-08,3.9998945e-08,3.9223245e-08,
1.2x1,600,1.2,1.0,0.6732679675728525,False,1.7685462e-08,9.406454e-09,1.8604263e-08,2.6826905e-08,1.856674e-08,2.7506587e-08,
1.2x1,700,1.2,1.0,0.6732679675728525,False,4.1741853e-08,3.346739e-08,3.866668e-08,4.6910465e-08,4.1068212e-08,4.6744596e-08,
1.2x1,800,1.2,1.0,0.6732679675728525,False,7.865926e-08,2.0487967e-08,6.5067965e-08,9.266553e-08,3.8878305e-08,8.7286494e-08,
