ar,re,lx,ly,distance_from_training,is_training_ar,mae_x,mae_y,mae_mag,rmse_x,rmse_y,rmse_mag,error_growth_rate
1.2x1,600,1.2,1.0,0.6732679675728525,False,6.286243e-08,2.4264247e-07,2.2399772e-07,1.0239399e-07,5.168598e-07,4.6327474e-07,
1.2x1,700,1.2,1.0,0.6732679675728525,False,9.25766e-08,2.5889656e-07,2.1387326e-07,1.6985221e-07,5.2035887e-07,4.4644133e-07,
1.2x1,800,1.2,1.0,0.6732679675728525,False,6.091254e-08,2.8969947e-07,2.3188672e-07,1.453247e-07,5.647417e-07,4.7910373e-07,
1.2x1,900,1.2,1.0,0.6732679675728525,False,6.323187e-08,3.0027593e-07,2.511435e-07,1.4300737e-07,6.505392e-07,5.621996e-07,
1.3x1,100,1.3,1.0,0.6813435502970183,False,3.677982e-08,2.3496986e-07,2.415678e-07,4.9637087e-08,4.7204205e-07,4.633282e-07,
1.3x1,1000,1.3,1.0,0.6813435502970183,False,8.2379685e-08,3.1719503e-07,2.698269e-07,1.5115755e-07,6.3970776e-07,5.4242e-07,
1.3x1,1100,1.3,1.0,0.6813435502970183,False,6.981487e-08,3.5642438e-07,2.8745777e-07,1.6408015e-07,6.9174064e-07,5.8246053e-07,
1.3x1,1200,1.3,1.0,0.6813435502970183,False,1.1619022e-07,3.521191e-07,2.6940137e-07,2.3145998e-07,7.09022e-07,5.822993e-07,
1.3x1,1300,1.3,1.0,0.6813435502970183,False,8.661258e-08,3.8302608e-07,2.9759502e-07,2.1843033e-07,7.82988e-07,6.4301133e-07,
1.3x1,1400,1.3,1.0,0.6813435502970183,False,1.010868e-07,4.2371488e-07,3.183527e-07,2.3838804e-07,8.1967545e-07,6.6364083e-07,
1.3x1,1500,1.3,1.0,0.6813435502970183,False,8.494161e-08,4.286561e-07,3.2803914e-07,2.4015338e-07,8.4494707e-07,6.842103e-07,
1.3x1,1600,1.3,1.0,0.6813435502970183,False,1.1446176e-07,4.433412e-07,3.3248293e-07,2.8149574e-07,8.670279e-07,6.729337e-07,
1.3x1,1700,1.3,1.0,0.6813435502970183,False,1.6648981e-07,4.331185e-07,2.9943664e-07,3.600636e-07,7.802809e-07,5.8880124e-07,
1.3x1,1800,1.3,1.0,0.6813435502970183,False,1.206551e-07,4.1578204e-07,3.0056202e-07,2.9473475e-07,8.1946496e-07,6.458365e-07,
1.3x1,1900,1.3,1.0,0.6813435502970183,False,1.6622444e-07,4.6319715e-07,3.3324864e-07,3.7133742e-07,8.9748374e-07,6.6714176e-07,
1.3x1,200,1.3,1.0,0.6813435502970183,False,5.223845e-08,2.3514379e-07,2.396186e-07,6.044873e-08,4.485123e-07,4.2819846e-07,
1.3x1,2000,1.3,1.0,0.6813435502970183,False,1.17224644e-07,4.973373e-07,3.6007094e-07,3.211896e-07,9.713883e-07,7.413522e-07,
1.3x1,2100,1.3,1.0,0.6813435502970183,False,1.4531429e-07,5.074712e-07,3.643712e-07,3.7186226e-07,9.965893e-07,7.4604026e-07,
1.3x1,300,1.3,1.0,0.6813435502970183,False,4.1699185e-08,2.3407611e-07,2.3061061e-07,6.1299566e-08,4.88851e-07,4.590333e-07,
