re,ar,lx,ly,distance_from_training,mae_mag,rmse_mag,mae_x,mae_y,rmse_x,rmse_y
500,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.433359e-07,4.724625e-07,7.726879e-08,2.423752e-07,1.151804e-07,5.042056e-07
500,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.356172e-07,4.815582e-07,4.808734e-08,2.623509e-07,8.960765e-08,5.296931e-07
500,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.262186e-07,4.664098e-07,4.189490e-08,2.474825e-07,8.430469e-08,5.103729e-07
500,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.608465e-07,4.644246e-07,5.084971e-08,2.795873e-07,7.267596e-08,5.090352e-07
500,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.413983e-07,4.770124e-07,3.320774e-08,2.737979e-07,7.906585e-08,5.194506e-07
500,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.649652e-07,4.897812e-07,5.498890e-08,2.762463e-07,7.956600e-08,5.268774e-07
600,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.171250e-07,4.507599e-07,3.582509e-08,2.614858e-07,1.038517e-07,5.179831e-07
600,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.239977e-07,4.632747e-07,6.286243e-08,2.426425e-07,1.023940e-07,5.168598e-07
600,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.348855e-07,4.570355e-07,5.958572e-08,2.529715e-07,9.348874e-08,5.189958e-07
600,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.221630e-07,4.800457e-07,3.688135e-08,2.591824e-07,9.988284e-08,5.396829e-07
600,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.215525e-07,4.628161e-07,6.208455e-08,2.582274e-07,1.248165e-07,5.207024e-07
600,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.476459e-07,5.031885e-07,4.737435e-08,2.726132e-07,8.804696e-08,5.547435e-07
600,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.424055e-07,4.720802e-07,5.940731e-08,2.725786e-07,9.671425e-08,5.269455e-07
600,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.795516e-07,5.085086e-07,6.596031e-08,3.003676e-07,1.023993e-07,5.473710e-07
600,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.748483e-07,5.203466e-07,5.052547e-08,2.966754e-07,8.060064e-08,5.691826e-07
700,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.374916e-07,4.729508e-07,9.360029e-08,2.829740e-07,1.533543e-07,5.542381e-07
700,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.138733e-07,4.464413e-07,9.257660e-08,2.588966e-07,1.698522e-07,5.203589e-07
700,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.306554e-07,4.644364e-07,4.264631e-08,2.795464e-07,1.123786e-07,5.386657e-07
700,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.675219e-07,4.943749e-07,8.843525e-08,2.827275e-07,1.275021e-07,5.614792e-07
700,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.605995e-07,5.068478e-07,7.030197e-08,2.931411e-07,1.253181e-07,5.800082e-07
700,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.327852e-07,4.925599e-07,6.912306e-08,2.726927e-07,1.449156e-07,5.555119e-07
700,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.419231e-07,4.749035e-07,4.409218e-08,2.787811e-07,9.846307e-08,5.386514e-07
700,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.604255e-07,4.995325e-07,4.148714e-08,2.971312e-07,8.671800e-08,5.595883e-07
700,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.867649e-07,5.281826e-07,7.426307e-08,2.997631e-07,9.675142e-08,5.745343e-07
800,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.177109e-07,4.465042e-07,5.874114e-08,2.650957e-07,1.348430e-07,5.359102e-07
800,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.318867e-07,4.791037e-07,6.091254e-08,2.896995e-07,1.453247e-07,5.647417e-07
800,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.740080e-07,5.167573e-07,9.126099e-08,3.043766e-07,1.443785e-07,5.813631e-07
800,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.403908e-07,4.849642e-07,6.954799e-08,2.842175e-07,1.359539e-07,5.606150e-07
800,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.553557e-07,5.264079e-07,1.109097e-07,3.051380e-07,1.872150e-07,6.000498e-07
